semantic_text,synonyms,flow_name,description,material_tags,unit,flow_type,category_path,cas_number,chemical_formula
"Flow: Phosphate, trimethyl- | Type: Elementary Flow | Category: Elementary flows > Emission to soil > unspecified | Unit: kg | CAS Number: 000512-56-1 | Materials: other",,"Phosphate, trimethyl-",,other,kg,Elementary Flow,Elementary flows > Emission to soil > unspecified,000512-56-1,
Flow: Benzoyl hydrazine | Type: Elementary Flow | Category: Elementary flows > Emission to air > high population density | Unit: kg | CAS Number: 000613-94-5 | Materials: other,,Benzoyl hydrazine,,other,kg,Elementary Flow,Elementary flows > Emission to air > high population density,000613-94-5,
"Flow: 7,12-Dimethylbenz(a)anthracene | Type: Elementary Flow | Category: Elementary flows > Emission to soil > industrial | Unit: kg | CAS Number: 000057-97-6 | Materials: other",,"7,12-Dimethylbenz(a)anthracene",,other,kg,Elementary Flow,Elementary flows > Emission to soil > industrial,000057-97-6,
"Flow: Hydrazine, monoacetyl- | Type: Elementary Flow | Category: Elementary flows > Emission to air > low population density | Unit: kg | CAS Number: 001068-57-1 | Materials: other",,"Hydrazine, monoacetyl-",,other,kg,Elementary Flow,Elementary flows > Emission to air > low population density,001068-57-1,
"Flow: Thiourea, trimethyl- | Type: Elementary Flow | Category: Elementary flows > Emission to soil > agricultural | Unit: kg | CAS Number: 002489-77-2 | Materials: other",,"Thiourea, trimethyl-",,other,kg,Elementary Flow,Elementary flows > Emission to soil > agricultural,002489-77-2,
Flow: melamine | Type: Elementary Flow | Category: Elementary flows > Emission to air > unspecified | Unit: kg | Materials: other,,melamine,,other,kg,Elementary Flow,Elementary flows > Emission to air > unspecified,,
Flow: Cyclochlorotine | Type: Elementary Flow | Category: Elementary flows > Emission to water > lake | Unit: kg | CAS Number: 012663-46-6 | Materials: tin,,Cyclochlorotine,,tin,kg,Elementary Flow,Elementary flows > Emission to water > lake,012663-46-6,
"Flow: Nitroimidazole, 1,2-dimethyl-5- | Type: Elementary Flow | Category: Elementary flows > Emission to water > unspecified | Unit: kg | CAS Number: 000551-92-8 | Materials: other",,"Nitroimidazole, 1,2-dimethyl-5-",,other,kg,Elementary Flow,Elementary flows > Emission to water > unspecified,000551-92-8,
"Flow: 4,4'-Methylenedianiline dihydrochloride | Type: Elementary Flow | Category: Elementary flows > Emission to soil > industrial | Unit: kg | CAS Number: 013552-44-8 | Materials: other",,"4,4'-Methylenedianiline dihydrochloride",,other,kg,Elementary Flow,Elementary flows > Emission to soil > industrial,013552-44-8,
Flow: 1'-Hydroxyestragole | Type: Elementary Flow | Category: Elementary flows > Emission to air > low population density | Unit: kg | CAS Number: 051410-44-7 | Materials: other,,1'-Hydroxyestragole,,other,kg,Elementary Flow,Elementary flows > Emission to air > low population density,051410-44-7,
"Flow: 4-Ethylsulphonylnaphthalene-1-sulfonamide | Type: Elementary Flow | Category: Elementary flows > Emission to water > river, long-term | Unit: kg | CAS Number: 000842-00-2 | Materials: other",,4-Ethylsulphonylnaphthalene-1-sulfonamide,,other,kg,Elementary Flow,"Elementary flows > Emission to water > river, long-term",000842-00-2,
"Flow: Phenol, 4-chloro-2-(phenylmethyl)- | Type: Elementary Flow | Category: Elementary flows > Emission to air > high population density | Unit: kg | CAS Number: 000120-32-1 | Materials: other",,"Phenol, 4-chloro-2-(phenylmethyl)-",,other,kg,Elementary Flow,Elementary flows > Emission to air > high population density,000120-32-1,
Flow: Chlorendic acid | Type: Elementary Flow | Category: Elementary flows > Emission to water > fossil- | Unit: kg | CAS Number: 000115-28-6 | Materials: other,,Chlorendic acid,,other,kg,Elementary Flow,Elementary flows > Emission to water > fossil-,000115-28-6,
"Flow: Hydrazine, 1-acetyl-2-isonicotinoyl- | Type: Elementary Flow | Category: Elementary flows > Emission to air > low population density | Unit: kg | CAS Number: 001078-38-2 | Materials: tin",,"Hydrazine, 1-acetyl-2-isonicotinoyl-",,tin,kg,Elementary Flow,Elementary flows > Emission to air > low population density,001078-38-2,
"Flow: Thiazole, 2-hydrazino-4-(p-nitrophenyl)- | Type: Elementary Flow | Category: Elementary flows > Emission to air > low population density, long-term | Unit: kg | CAS Number: 026049-70-7 | Materials: other",,"Thiazole, 2-hydrazino-4-(p-nitrophenyl)-",,other,kg,Elementary Flow,"Elementary flows > Emission to air > low population density, long-term",026049-70-7,
Flow: FD & C red no. 1 | Type: Elementary Flow | Category: Elementary flows > Emission to soil > industrial | Unit: kg | CAS Number: 003564-09-8 | Materials: other,,FD & C red no. 1,,other,kg,Elementary Flow,Elementary flows > Emission to soil > industrial,003564-09-8,
"Flow: Propane, tris-1,2,3-(chloromethoxy)- | Type: Elementary Flow | Category: Elementary flows > Emission to air > unspecified | Unit: kg | CAS Number: 038571-73-2 | Materials: other",,"Propane, tris-1,2,3-(chloromethoxy)-",,other,kg,Elementary Flow,Elementary flows > Emission to air > unspecified,038571-73-2,
"Flow: Hydrazine, monoacetyl- | Type: Elementary Flow | Category: Elementary flows > Emission to soil > forestry | Unit: kg | CAS Number: 001068-57-1 | Materials: other",,"Hydrazine, monoacetyl-",,other,kg,Elementary Flow,Elementary flows > Emission to soil > forestry,001068-57-1,
"Flow: Toluidine hydrochloride, p- | Type: Elementary Flow | Category: Elementary flows > Emission to air > high population density | Unit: kg | CAS Number: 000540-23-8 | Materials: other",,"Toluidine hydrochloride, p-",,other,kg,Elementary Flow,Elementary flows > Emission to air > high population density,000540-23-8,
Flow: p-Nitrosodiphenylamine | Type: Elementary Flow | Category: Elementary flows > Emission to air > low population density | Unit: kg | CAS Number: 000156-10-5 | Materials: other,,p-Nitrosodiphenylamine,,other,kg,Elementary Flow,Elementary flows > Emission to air > low population density,000156-10-5,
Flow: Benzo(k)fluoranthene | Type: Elementary Flow | Category: Elementary flows > Emission to soil > industrial | Unit: kg | CAS Number: 000207-08-9 | Materials: other,,Benzo(k)fluoranthene,,other,kg,Elementary Flow,Elementary flows > Emission to soil > industrial,000207-08-9,
Flow: Piperonyl sulfoxide | Type: Elementary Flow | Category: Elementary flows > Emission to soil > unspecified | Unit: kg | CAS Number: 000120-62-7 | Materials: other,,Piperonyl sulfoxide,,other,kg,Elementary Flow,Elementary flows > Emission to soil > unspecified,000120-62-7,
Flow: Tetrafluoro-m-phenylenediamine dihydrochloride | Type: Elementary Flow | Category: Elementary flows > Emission to soil > forestry | Unit: kg | CAS Number: 063886-77-1 | Materials: other,,Tetrafluoro-m-phenylenediamine dihydrochloride,,other,kg,Elementary Flow,Elementary flows > Emission to soil > forestry,063886-77-1,
Flow: 4-Acetylaminobiphenyl | Type: Elementary Flow | Category: Elementary flows > Emission to water > river | Unit: kg | CAS Number: 004075-79-0 | Materials: other,,4-Acetylaminobiphenyl,,other,kg,Elementary Flow,Elementary flows > Emission to water > river,004075-79-0,
"Flow: Oxazine, tetrahydro-2-nitroso-2H-1,2- | Type: Elementary Flow | Category: Elementary flows > Emission to soil > industrial | Unit: kg | CAS Number: 040548-68-3 | Materials: other",,"Oxazine, tetrahydro-2-nitroso-2H-1,2-",,other,kg,Elementary Flow,Elementary flows > Emission to soil > industrial,040548-68-3,
"Flow: Ethane, Z-ethyl-O,N,N-azoxy- | Type: Elementary Flow | Category: Elementary flows > Emission to water > river, long-term | Unit: kg | CAS Number: 016301-26-1 | Materials: other",,"Ethane, Z-ethyl-O,N,N-azoxy-",,other,kg,Elementary Flow,"Elementary flows > Emission to water > river, long-term",016301-26-1,
"Flow: Toluene, o-nitroso- | Type: Elementary Flow | Category: Elementary flows > Emission to air > lower stratosphere + upper troposphere | Unit: kg | CAS Number: 000611-23-4 | Materials: other",,"Toluene, o-nitroso-",,other,kg,Elementary Flow,Elementary flows > Emission to air > lower stratosphere + upper troposphere,000611-23-4,
Flow: Ethionine | Type: Elementary Flow | Category: Elementary flows > Emission to air > lower stratosphere + upper troposphere | Unit: kg | CAS Number: 013073-35-3 | Materials: other,,Ethionine,,other,kg,Elementary Flow,Elementary flows > Emission to air > lower stratosphere + upper troposphere,013073-35-3,
Flow: Benzyl acetate | Type: Elementary Flow | Category: Elementary flows > Emission to soil > industrial | Unit: kg | CAS Number: 000140-11-4 | Materials: other,,Benzyl acetate,,other,kg,Elementary Flow,Elementary flows > Emission to soil > industrial,000140-11-4,
"Flow: 2,4-Diaminoanisole sulfate | Type: Elementary Flow | Category: Elementary flows > Emission to soil > forestry | Unit: kg | CAS Number: 039156-41-7 | Materials: other",,"2,4-Diaminoanisole sulfate",,other,kg,Elementary Flow,Elementary flows > Emission to soil > forestry,039156-41-7,
Flow: N-Nitroso-N-isobutylurea | Type: Elementary Flow | Category: Elementary flows > Emission to water > lake | Unit: kg | CAS Number: 000760-60-1 | Materials: other,,N-Nitroso-N-isobutylurea,,other,kg,Elementary Flow,Elementary flows > Emission to water > lake,000760-60-1,
Flow: Dimethyl morpholinophosphoramidate | Type: Elementary Flow | Category: Elementary flows > Emission to soil > agricultural | Unit: kg | CAS Number: 000597-25-1 | Materials: other,,Dimethyl morpholinophosphoramidate,,other,kg,Elementary Flow,Elementary flows > Emission to soil > agricultural,000597-25-1,
"Flow: Aniline, N,N-diethyl-4-(4'-[pyridyl-1'-oxide]azo)- | Type: Elementary Flow | Category: Elementary flows > Emission to soil > industrial | Unit: kg | CAS Number: 007347-49-1 | Materials: other",,"Aniline, N,N-diethyl-4-(4'-[pyridyl-1'-oxide]azo)-",,other,kg,Elementary Flow,Elementary flows > Emission to soil > industrial,007347-49-1,
"Flow: Butene, 1,4-dichloro-2- (trans) | Type: Elementary Flow | Category: Elementary flows > Emission to air > lower stratosphere + upper troposphere | Unit: kg | CAS Number: 000110-57-6 | Materials: other",,"Butene, 1,4-dichloro-2- (trans)",,other,kg,Elementary Flow,Elementary flows > Emission to air > lower stratosphere + upper troposphere,000110-57-6,
Flow: Rifampicin | Type: Elementary Flow | Category: Elementary flows > Emission to air > high population density | Unit: kg | CAS Number: 013292-46-1 | Materials: other,,Rifampicin,,other,kg,Elementary Flow,Elementary flows > Emission to air > high population density,013292-46-1,
"Flow: Thiazole, 2-amino-5-nitro- | Type: Elementary Flow | Category: Elementary flows > Emission to water > lake | Unit: kg | CAS Number: 000121-66-4 | Materials: other",,"Thiazole, 2-amino-5-nitro-",,other,kg,Elementary Flow,Elementary flows > Emission to water > lake,000121-66-4,
